zipcode,place,state
07035,Lincoln Park,New Jersey
07045,Montville,New Jersey
07046,Mountain Lakes,New Jersey
07054,Parsippany,New Jersey
07058,Pine Brook,New Jersey
07082,Towaco,New Jersey
07405,Butler,New Jersey
07440,Pequannock,New Jersey
07444,Pompton Plains,New Jersey
07457,Riverdale,New Jersey
07801,Dover,New Jersey
07802,Dover,New Jersey
07803,Mine Hill,New Jersey
07806,Picatinny Arsenal,New Jersey
07828,Budd Lake,New Jersey
07834,Denville,New Jersey
07836,Flanders,New Jersey
07842,Hibernia,New Jersey
07845,Ironia,New Jersey
07847,Kenvil,New Jersey
07849,Lake Hopatcong,New Jersey
07850,Landing,New Jersey
07852,Ledgewood,New Jersey
07853,Long Valley,New Jersey
07856,Mount Arlington,New Jersey
07857,Netcong,New Jersey
07866,Rockaway,New Jersey
07869,Randolph,New Jersey
07870,Schooleys Mountain,New Jersey
07876,Succasunna,New Jersey
07878,Mount Tabor,New Jersey
07885,Wharton,New Jersey
07926,Brookside,New Jersey
07927,Cedar Knolls,New Jersey
07928,Chatham,New Jersey
07930,Chester,New Jersey
07932,Florham Park,New Jersey
07933,Gillette,New Jersey
07935,Green Village,New Jersey
07936,East Hanover,New Jersey
07940,Madison,New Jersey
07945,Mendham,New Jersey
07946,Millington,New Jersey
07950,Morris Plains,New Jersey
07960,Morristown,New Jersey
07961,Convent Station,New Jersey
07962,Morristown,New Jersey
07963,Morristown,New Jersey
07970,Mount Freedom,New Jersey
07976,New Vernon,New Jersey
07980,Stirling,New Jersey
07981,Whippany,New Jersey
07999,Whippany,New Jersey
08005,Barnegat,New Jersey
08006,Barnegat Light,New Jersey
08008,Beach Haven,New Jersey
08050,Manahawkin,New Jersey
08087,Tuckerton,New Jersey
08092,West Creek,New Jersey
08527,Jackson,New Jersey
08533,New Egypt,New Jersey
08701,Lakewood,New Jersey
08721,Bayville,New Jersey
08722,Beachwood,New Jersey
08723,Brick,New Jersey
08724,Brick,New Jersey
08731,Forked River,New Jersey
08732,Island Heights,New Jersey
08733,Lakehurst,New Jersey
08734,Lanoka Harbor,New Jersey
08735,Lavallette,New Jersey
08738,Mantoloking,New Jersey
08739,Normandy Beach,New Jersey
08740,Ocean Gate,New Jersey
08741,Pine Beach,New Jersey
08742,Point Pleasant Beach,New Jersey
08751,Seaside Heights,New Jersey
08752,Seaside Park,New Jersey
08753,Toms River,New Jersey
08754,Toms River,New Jersey
08755,Toms River,New Jersey
08756,Toms River,New Jersey
08757,Toms River,New Jersey
08758,Waretown,New Jersey
08759,Manchester Township,New Jersey
07011,Clifton,New Jersey
07012,Clifton,New Jersey
07013,Clifton,New Jersey
07014,Clifton,New Jersey
07015,Clifton,New Jersey
07055,Passaic,New Jersey
07403,Bloomingdale,New Jersey
07420,Haskell,New Jersey
07421,Hewitt,New Jersey
07424,Little Falls,New Jersey
07435,Newfoundland,New Jersey
07438,Oak Ridge,New Jersey
07442,Pompton Lakes,New Jersey
07456,Ringwood,New Jersey
07465,Wanaque,New Jersey
07470,Wayne,New Jersey
07474,Wayne,New Jersey
07480,West Milford,New Jersey
07501,Paterson,New Jersey
07502,Paterson,New Jersey
07503,Paterson,New Jersey
07504,Paterson,New Jersey
07505,Paterson,New Jersey
07506,Hawthorne,New Jersey
07507,Hawthorne,New Jersey
07508,Haledon,New Jersey
07509,Paterson,New Jersey
07510,Paterson,New Jersey
07511,Totowa,New Jersey
07512,Totowa,New Jersey
07513,Paterson,New Jersey
07514,Paterson,New Jersey
07522,Paterson,New Jersey
07524,Paterson,New Jersey
07533,Paterson,New Jersey
07538,Haledon,New Jersey
07543,Paterson,New Jersey
07544,Paterson,New Jersey
08001,Alloway,New Jersey
08023,Deepwater,New Jersey
08038,Hancocks Bridge,New Jersey
08067,Pedricktown,New Jersey
08069,Penns Grove,New Jersey
08070,Pennsville,New Jersey
08072,Quinton,New Jersey
08079,Salem,New Jersey
08098,Woodstown,New Jersey
08318,Elmer,New Jersey
08347,Norma,New Jersey
07059,Warren,New Jersey
07920,Basking Ridge,New Jersey
07921,Bedminster,New Jersey
07924,Bernardsville,New Jersey
07931,Far Hills,New Jersey
07934,Gladstone,New Jersey
07938,Liberty Corner,New Jersey
07939,Lyons,New Jersey
07977,Peapack,New Jersey
07978,Pluckemin,New Jersey
08502,Belle Mead,New Jersey
08504,Blawenburg,New Jersey
08528,Kingston,New Jersey
08553,Rocky Hill,New Jersey
08558,Skillman,New Jersey
08805,Bound Brook,New Jersey
08807,Bridgewater,New Jersey
08821,Flagtown,New Jersey
08823,Franklin Park,New Jersey
08835,Manville,New Jersey
08836,Martinsville,New Jersey
08844,Hillsborough,New Jersey
08853,Neshanic Station,New Jersey
08869,Raritan,New Jersey
08873,Somerset,New Jersey
08875,Somerset,New Jersey
08876,Somerville,New Jersey
08880,South Bound Brook,New Jersey
08890,Zarephath,New Jersey
07416,Franklin,New Jersey
07418,Glenwood,New Jersey
07419,Hamburg,New Jersey
07422,Highland Lakes,New Jersey
07428,Mc Afee,New Jersey
07439,Ogdensburg,New Jersey
07460,Stockholm,New Jersey
07461,Sussex,New Jersey
07462,Vernon,New Jersey
07821,Andover,New Jersey
07822,Augusta,New Jersey
07826,Branchville,New Jersey
07827,Montague,New Jersey
07837,Glasser,New Jersey
07839,Greendell,New Jersey
07843,Hopatcong,New Jersey
07848,Lafayette,New Jersey
07851,Layton,New Jersey
07855,Middleville,New Jersey
07860,Newton,New Jersey
07871,Sparta,New Jersey
07874,Stanhope,New Jersey
07875,Stillwater,New Jersey
07877,Swartswood,New Jersey
07879,Tranquility,New Jersey
07881,Wallpack Center,New Jersey
07890,Branchville,New Jersey
07016,Cranford,New Jersey
07023,Fanwood,New Jersey
07027,Garwood,New Jersey
07033,Kenilworth,New Jersey
07036,Linden,New Jersey
07060,Plainfield,New Jersey
07061,Plainfield,New Jersey
07062,Plainfield,New Jersey
07063,Plainfield,New Jersey
07065,Rahway,New Jersey
07066,Clark,New Jersey
07069,Watchung,New Jersey
07076,Scotch Plains,New Jersey
07081,Springfield,New Jersey
07083,Union,New Jersey
07088,Vauxhall,New Jersey
07090,Westfield,New Jersey
07091,Westfield,New Jersey
07092,Mountainside,New Jersey
07201,Elizabeth,New Jersey
07202,Elizabeth,New Jersey
07203,Roselle,New Jersey
07204,Roselle Park,New Jersey
07205,Hillside,New Jersey
07206,Elizabethport,New Jersey
07207,Elizabeth,New Jersey
07208,Elizabeth,New Jersey
07901,Summit,New Jersey
07902,Summit,New Jersey
07922,Berkeley Heights,New Jersey
07974,New Providence,New Jersey
07820,Allamuchy,New Jersey
07823,Belvidere,New Jersey
07825,Blairstown,New Jersey
07829,Buttzville,New Jersey
07831,Changewater,New Jersey
07832,Columbia,New Jersey
07833,Delaware,New Jersey
07838,Great Meadows,New Jersey
07840,Hackettstown,New Jersey
07844,Hope,New Jersey
07846,Johnsonburg,New Jersey
07863,Oxford,New Jersey
07865,Port Murray,New Jersey
07880,Vienna,New Jersey
07882,Washington,New Jersey
08802,Asbury,New Jersey
08808,Broadway,New Jersey
08865,Phillipsburg,New Jersey
08886,Stewartsville,New Jersey
12007,Alcove,New York
12009,Altamont,New York
12023,Berne,New York
12041,Clarksville,New York
12045,Coeymans,New York
12046,Coeymans Hollow,New York
12047,Cohoes,New York
12054,Delmar,New York
12055,Dormansville,New York
12059,East Berne,New York
12067,Feura Bush,New York
12077,Glenmont,New York
12084,Guilderland,New York
12085,Guilderland Center,New York
12107,Knox,New York
12110,Latham,New York
12120,Medusa,New York
12128,Newtonville,New York
12143,Ravena,New York
12147,Rensselaerville,New York
12158,Selkirk,New York
12159,Slingerlands,New York
12161,South Bethlehem,New York
12183,Troy,New York
12186,Voorheesville,New York
12189,Watervliet,New York
12193,Westerlo,New York
12201,Albany,New York
12202,Albany,New York
12203,Albany,New York
12204,Albany,New York
12205,Albany,New York
12206,Albany,New York
12207,Albany,New York
12208,Albany,New York
12209,Albany,New York
12210,Albany,New York
12211,Albany,New York
12212,Albany,New York
12214,Albany,New York
12220,Albany,New York
12222,Albany,New York
12223,Albany,New York
12224,Albany,New York
12225,Albany,New York
12226,Albany,New York
12227,Albany,New York
12228,Albany,New York
12229,Albany,New York
12230,Albany,New York
12231,Albany,New York
12232,Albany,New York
12233,Albany,New York
12234,Albany,New York
12235,Albany,New York
12236,Albany,New York
12237,Albany,New York
12238,Albany,New York
12239,Albany,New York
12240,Albany,New York
12241,Albany,New York
12242,Albany,New York
12243,Albany,New York
12244,Albany,New York
12245,Albany,New York
12246,Albany,New York
12247,Albany,New York
12248,Albany,New York
12249,Albany,New York
12250,Albany,New York
12252,Albany,New York
12255,Albany,New York
12256,Albany,New York
12257,Albany,New York
12260,Albany,New York
12261,Albany,New York
12288,Albany,New York
12469,Preston Hollow,New York
14029,Centerville,New York
14707,Allentown,New York
14708,Alma,New York
14709,Angelica,New York
14711,Belfast,New York
14714,Black Creek,New York
14715,Bolivar,New York
14717,Caneadea,New York
14721,Ceres,New York
14727,Cuba,New York
14735,Fillmore,New York
14739,Friendship,New York
14744,Houghton,New York
14745,Hume,New York
14754,Little Genesee,New York
14774,Richburg,New York
14777,Rushford,New York
14786,West Clarksville,New York
14802,Alfred,New York
14803,Alfred Station,New York
14804,Almond,New York
14806,Andover,New York
14813,Belmont,New York
14822,Canaseraga,New York
14880,Scio,New York
14884,Swain,New York
14895,Wellsville,New York
14897,Whitesville,New York
10451,Bronx,New York
10452,Bronx,New York
10453,Bronx,New York
10454,Bronx,New York
10455,Bronx,New York
10456,Bronx,New York
10457,Bronx,New York
10458,Bronx,New York
10459,Bronx,New York
10460,Bronx,New York
10461,Bronx,New York
10462,Bronx,New York
10463,Bronx,New York
10464,Bronx,New York
10465,Bronx,New York
10466,Bronx,New York
10467,Bronx,New York
10468,Bronx,New York
10469,Bronx,New York
10470,Bronx,New York
10471,Bronx,New York
10472,Bronx,New York
10473,Bronx,New York
10474,Bronx,New York
10475,Bronx,New York
13737,Bible School Park,New York
13744,Castle Creek,New York
13745,Chenango Bridge,New York
13746,Chenango Forks,New York
13748,Conklin,New York
13749,Corbettsville,New York
13754,Deposit,New York
13760,Endicott,New York
13761,Endicott,New York
13762,Endwell,New York
13763,Endicott,New York
13777,Glen Aubrey,New York
13787,Harpursville,New York
13790,Johnson City,New York
13794,Killawog,New York
13795,Kirkwood,New York
13797,Lisle,New York
13802,Maine,New York
13813,Nineveh,New York
13826,Ouaquaga,New York
13833,Port Crane,New York
13848,Tunnel,New York
13850,Vestal,New York
13851,Vestal,New York
13862,Whitney Point,New York
13865,Windsor,New York
13901,Binghamton,New York
13902,Binghamton,New York
13903,Binghamton,New York
13904,Binghamton,New York
13905,Binghamton,New York
14041,Dayton,New York
14042,Delevan,New York
14060,Farmersville Station,New York
14065,Freedom,New York
14070,Gowanda,New York
14101,Machias,New York
14129,Perrysburg,New York
14133,Sandusky,New York
14138,South Dayton,New York
14168,Versailles,New York
14171,West Valley,New York
14173,Yorkshire,New York
14706,Allegany,New York
14719,Cattaraugus,New York
14726,Conewango Valley,New York
14729,East Otto,New York
14730,East Randolph,New York
14731,Ellicottville,New York
14737,Franklinville,New York
14741,Great Valley,New York
14743,Hinsdale,New York
14748,Kill Buck,New York
14751,Leon,New York
14753,Limestone,New York
14755,Little Valley,New York
14760,Olean,New York
14766,Otto,New York
14770,Portville,New York
14772,Randolph,New York
14778,Saint Bonaventure,New York
14779,Salamanca,New York
14783,Steamburg,New York
14788,Westons Mills,New York
13021,Auburn,New York
13022,Auburn,New York
13024,Auburn,New York
13026,Aurora,New York
13033,Cato,New York
13034,Cayuga,New York
13071,Genoa,New York
13081,King Ferry,New York
13092,Locke,New York
13111,Martville,New York
13113,Meridian,New York
13117,Montezuma,New York
13118,Moravia,New York
13139,Poplar Ridge,New York
13140,Port Byron,New York
13147,Scipio Center,New York
13156,Sterling,New York
13160,Union Springs,New York
13166,Weedsport,New York
14048,Dunkirk,New York
14062,Forestville,New York
14063,Fredonia,New York
14081,Irving,New York
14135,Sheridan,New York
14136,Silver Creek,New York
14166,Van Buren Point,New York
14701,Jamestown,New York
14702,Jamestown,New York
14710,Ashville,New York
14712,Bemus Point,New York
14716,Brocton,New York
14718,Cassadaga,New York
14720,Celoron,New York
14722,Chautauqua,New York
14723,Cherry Creek,New York
14724,Clymer,New York
14728,Dewittville,New York
14732,Ellington,New York
14733,Falconer,New York
14736,Findley Lake,New York
14738,Frewsburg,New York
14740,Gerry,New York
14742,Greenhurst,New York
14747,Kennedy,New York
14750,Lakewood,New York
14752,Lily Dale,New York
14756,Maple Springs,New York
14757,Mayville,New York
14758,Niobe,New York
14767,Panama,New York
14769,Portland,New York
14775,Ripley,New York
14781,Sherman,New York
14782,Sinclairville,New York
14784,Stockton,New York
14785,Stow,New York
14787,Westfield,New York
14814,Big Flats,New York
14816,Breesport,New York
14825,Chemung,New York
14838,Erin,New York
14845,Horseheads,New York
14861,Lowman,New York
14864,Millport,New York
14871,Pine City,New York
14872,Pine Valley,New York
14889,Van Etten,New York
14894,Wellsburg,New York
14901,Elmira,New York
14902,Elmira,New York
14903,Elmira,New York
14904,Elmira,New York
14905,Elmira,New York
13124,North Pitcher,New York
13136,Pitcher,New York
13155,South Otselic,New York
13332,Earlville,New York
13411,New Berlin,New York
13460,Sherburne,New York
13464,Smyrna,New York
13730,Afton,New York
13733,Bainbridge,New York
13758,East Pharsalia,New York
13778,Greene,New York
13780,Guilford,New York
